Player,Squad,Age,Born,SCA90,GCA90,COV_Factor,Tax_Rate,Masa_Salarial_X,Log_Annual_Wages_Y,PassLive_P90,PassDead_P90,TO_P90,Sh_P90,Fld_P90,Def_P90,SCA_P90,GCA_P90,Attack_Efficiency_Ratio,Foul_Prone_Ratio,Net_Creative_Impact,Wage_Club_Ratio,Viability_Score,Club_Purchasing_Power,Age_Sq,Age_Prime_Flag,Perf_Age_Interaction,Pos_FW,Pos_GK,Pos_MF,Comp_La Liga,Comp_Ligue 1,Comp_Premier League,Comp_Serie A
Max Aarons,Bournemouth,24,2000,2.09,0.0,0.9966652656139828,0.494606050895107,62764000.0,13.16158409055761,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.008285004142502,0.5070849426999461,62554698.73099601,576,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joshua Acheampong,Chelsea,18,2006,1.06,0.0,0.9966652656139828,0.494606050895107,164788000.0,14.518087493160442,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0122517944856656,0.5070849426999461,164238475.78999698,324,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tyler Adams,Bournemouth,25,1999,1.88,0.18,0.9966652656139828,0.494606050895107,62764000.0,14.953343559785663,1.6055045871559632,0.0,0.0,0.0458715596330275,0.0458715596330275,0.18348623853211,1.8807339449541285,0.18348623853211,0.097560975609756,0.25,0.18348623853211,0.0497100248550124,0.5070849426999461,62554698.73099601,625,1,4.587155963302751,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Tosin Adarabioyo,Chelsea,26,1997,0.96,0.06,0.9966652656139828,0.494606050895107,164788000.0,15.470614213010602,0.5095541401273885,0.0,0.0,0.3821656050955414,0.0,0.0636942675159235,0.9554140127388536,0.0636942675159235,0.0666666666666666,0.0,0.0636942675159235,0.0317597299890397,0.5070849426999461,164238475.78999698,676,1,1.6560509554140128,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Simon Adingra,Brighton,22,2002,3.86,0.57,0.9966652656139828,0.494606050895107,60645000.0,15.107494239612924,2.7049180327868854,0.0,0.4918032786885246,0.6557377049180328,0.0,0.0,3.852459016393442,0.5737704918032788,0.1489361702127659,0.0,0.0819672131147541,0.060021436227224,0.5070849426999461,60442765.03315998,484,0,12.622950819672132,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Emmanuel Agbadou,Wolves,27,1997,1.09,0.19,0.9966652656139828,0.494606050895107,72358000.0,15.30165025405388,0.9554140127388536,0.1273885350318471,0.0,0.0,0.0,0.0,1.0828025477707006,0.1910828025477707,0.1764705882352941,0.0,0.1910828025477707,0.0610851598993891,0.5070849426999461,72116705.28929657,729,1,5.159235668789809,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Asher Agbinone,Crystal Palace,18,2005,15.0,0.0,0.9966652656139828,0.494606050895107,67828800.0,13.544100451569811,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0112386450390658,0.5070849426999461,67602608.96827771,324,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ola Aina,Nott'ham Forest,27,1996,1.86,0.12,0.9966652656139828,0.494606050895107,93457000.0,14.953343559785663,1.4714714714714716,0.1501501501501501,0.0900900900900901,0.03003003003003,0.0900900900900901,0.03003003003003,1.861861861861862,0.1201201201201201,0.064516129032258,3.0,0.03003003003003,0.0333843371818055,0.5070849426999461,93145345.728486,729,1,3.2432432432432434,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rayan Aït-Nouri,Wolves,23,2001,2.63,0.35,0.9966652656139828,0.494606050895107,72358000.0,15.64649074034561,1.6231884057971016,0.4347826086956521,0.2318840579710145,0.2028985507246377,0.1159420289855072,0.0289855072463768,2.63768115942029,0.3478260869565217,0.1318681318681318,4.0,0.1159420289855072,0.0862378727991376,0.5070849426999461,72116705.28929657,529,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kristoffer Ajer,Brentford,26,1998,1.13,0.13,0.9966652656139828,0.494606050895107,54301000.0,14.5478784516775,0.9375,0.0,0.0625,0.125,0.0,0.0,1.125,0.125,0.1111111111111111,0.0,0.0625,0.0383050035910941,0.5070849426999461,54119920.58810488,676,1,3.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Manuel Akanji,Manchester City,29,1995,1.65,0.13,0.9966652656139828,0.494606050895107,222315600.0,15.719573172779842,1.6517857142857144,0.0,0.0,0.0,0.0,0.0,1.6517857142857144,0.1339285714285714,0.081081081081081,0.0,0.1339285714285714,0.0301963150840331,0.5070849426999461,221574236.52413192,841,1,3.883928571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0
