Player,Weekly Wages,Annual_Wages_Y,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,COV_Factor,Tax_Rate,Masa_Salarial_X,Log_Annual_Wages_Y,Annual_Wages_Imputed,PassLive_P90,PassDead_P90,TO_P90,Sh_P90,Fld_P90,Def_P90,SCA_P90,GCA_P90,Attack_Efficiency_Ratio,Foul_Prone_Ratio,Net_Creative_Impact,Wage_Club_Ratio,Viability_Score,Club_Purchasing_Power,Age_Sq,Age_Prime_Flag,Perf_Age_Interaction,Pos_FW,Pos_GK,Pos_MF,Comp_La Liga,Comp_Ligue 1,Comp_Premier League,Comp_Serie A
Max Aarons,10000.0,520000.0,ENG,DF,Bournemouth,Premier League,24,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,62764000.0,13.16158409055761,520000.0000000003,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.008285004142502076,0.5070849426999461,62554698.73099601,576,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joshua Acheampong,45396.01861908456,2360592.7075252132,ENG,DF,Chelsea,Premier League,18,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,164788000.0,14.518087493160442,2018948.7097038738,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.012251794485665667,0.5070849426999461,164238475.78999698,324,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tyler Adams,60000.0,3120000.0,USA,MF,Bournemouth,Premier League,25,1999,21.8,41,1.88,35,0,0,1,1,4,4,0.18,0.9966652656139827,0.494606050895107,62764000.0,14.953343559785665,3120000.0000000005,1.6055045871559632,0.0,0.0,0.04587155963302752,0.04587155963302752,0.18348623853211007,1.8807339449541285,0.18348623853211007,0.09756097560975609,0.25,0.18348623853211007,0.049710024855012434,0.5070849426999461,62554698.73099601,625,1,4.587155963302751,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Tosin Adarabioyo,45396.01861908456,2360592.7075252132,ENG,DF,Chelsea,Premier League,26,1997,15.7,15,0.96,8,0,0,6,0,1,1,0.06,0.9966652656139827,0.494606050895107,164788000.0,15.470614213010602,5233622.3854338825,0.5095541401273885,0.0,0.0,0.3821656050955414,0.0,0.06369426751592357,0.9554140127388535,0.06369426751592357,0.06666666666666667,0.0,0.06369426751592357,0.03175972998903975,0.5070849426999461,164238475.78999698,676,1,1.6560509554140128,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Simon Adingra,70000.0,3640000.0,CIV,FW,Brighton,Premier League,22,2002,12.2,47,3.86,33,0,6,8,0,0,7,0.57,0.9966652656139827,0.494606050895107,60645000.0,15.107494239612924,3640000.000000003,2.7049180327868854,0.0,0.49180327868852464,0.6557377049180328,0.0,0.0,3.8524590163934427,0.5737704918032788,0.14893617021276598,0.0,0.08196721311475413,0.060021436227224056,0.5070849426999461,60442765.03315998,484,0,12.622950819672132,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Emmanuel Agbadou,85000.0,4420000.0,CIV,DF,Wolves,Premier League,27,1997,15.7,17,1.09,15,2,0,0,0,0,3,0.19,0.9966652656139827,0.494606050895107,72358000.0,15.30165025405388,4419999.999999999,0.9554140127388535,0.12738853503184713,0.0,0.0,0.0,0.0,1.0828025477707006,0.1910828025477707,0.17647058823529413,0.0,0.1910828025477707,0.06108515989938913,0.5070849426999461,72116705.28929657,729,1,5.159235668789809,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Asher Agbinone,45396.01861908456,2360592.7075252132,ENG,MF,Crystal Palace,Premier League,18,2005,0.1,1,15.0,1,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,67828800.0,13.544100451569813,762303.8066257896,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.011238645039065848,0.5070849426999461,67602608.96827771,324,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ola Aina,60000.0,3120000.0,NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,62,1.86,49,5,3,1,3,1,4,0.12,0.9966652656139827,0.494606050895107,93457000.0,14.953343559785665,3120000.0000000005,1.4714714714714716,0.15015015015015015,0.0900900900900901,0.030030030030030033,0.0900900900900901,0.030030030030030033,1.861861861861862,0.12012012012012013,0.06451612903225806,3.0,0.030030030030030033,0.03338433718180554,0.5070849426999461,93145345.72848599,729,1,3.2432432432432434,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rayan Aït-Nouri,120000.0,6240000.0,ALG,DF,Wolves,Premier League,23,2001,34.5,91,2.63,56,15,8,7,4,1,12,0.35,0.9966652656139827,0.494606050895107,72358000.0,15.64649074034561,6240000.000000001,1.6231884057971016,0.43478260869565216,0.2318840579710145,0.2028985507246377,0.11594202898550725,0.028985507246376812,2.63768115942029,0.34782608695652173,0.13186813186813184,4.0,0.11594202898550723,0.08623787279913764,0.5070849426999461,72116705.28929657,529,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kristoffer Ajer,40000.0,2080000.0,NOR,DF,Brentford,Premier League,26,1998,16.0,18,1.13,15,0,1,2,0,0,2,0.13,0.9966652656139827,0.494606050895107,54301000.0,14.547878451677501,2080000.0000000016,0.9375,0.0,0.0625,0.125,0.0,0.0,1.125,0.125,0.1111111111111111,0.0,0.0625,0.038305003591094115,0.5070849426999461,54119920.588104874,676,1,3.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
